,email
1,mailman@lists.aktivix.org
2,detainee-support-network@lists.aktivix.org
3,detainee-support-network-owner@lists.aktivix.org
4,defend-education-meetings-owner@lists.aktivix.org
5,defend-education-meetings@lists.aktivix.org
6,kc-infotour@lists.aktivix.org
7,kc-infotour-owner@lists.aktivix.org
8,beirat-w18@lists.aktivix.org
9,beirat-w18-owner@lists.aktivix.org
10,nexus-orga@lists.aktivix.org
11,nexus-orga-owner@lists.aktivix.org
12,kc-aktion@lists.aktivix.org
13,kc-aktion-owner@lists.aktivix.org
14,colombiasolidarityuk@lists.aktivix.org
15,colombiasolidarityuk-owner@lists.aktivix.org
16,defend-education-publicity-owner@lists.aktivix.org
17,defend-education-publicity@lists.aktivix.org
18,mediatizados-owner@lists.aktivix.org
19,mediatizados@lists.aktivix.org
20,handgreenteam-owner@lists.aktivix.org
21,handgreenteam@lists.aktivix.org
22,cga-lyon-public@lists.aktivix.org
23,cga-lyon-public-owner@lists.aktivix.org
24,ot-gegenkrieg@lists.aktivix.org
25,ot-gegenkrieg-owner@lists.aktivix.org
26,christianarchy-uk@lists.aktivix.org
27,christianarchy-uk-owner@lists.aktivix.org
28,g8-sheffield@lists.aktivix.org
29,g8-sheffield-owner@lists.aktivix.org
30,resistg8-wgaw-owner@lists.aktivix.org
31,resistg8-wgaw@lists.aktivix.org
32,scotia@lists.aktivix.org
33,scotia-owner@lists.aktivix.org
34,northeast-earth-first-owner@lists.aktivix.org
35,northeast-earth-first@lists.aktivix.org
36,sheffsocialcentre-owner@lists.aktivix.org
37,sheffsocialcentre@lists.aktivix.org
38,development-southeast@lists.aktivix.org
39,development-southeast-owner@lists.aktivix.org
40,aktivix-request@lists.aktivix.org
41,aktivix-request-owner@lists.aktivix.org
42,g8-mediaresponse@lists.aktivix.org
43,g8-mediaresponse-owner@lists.aktivix.org
44,ssf-research-owner@lists.aktivix.org
45,ssf-research@lists.aktivix.org
46,anti-rafle@lists.aktivix.org
47,anti-rafle-owner@lists.aktivix.org
48,flame@lists.aktivix.org
49,flame-owner@lists.aktivix.org
50,defend-education-organise@lists.aktivix.org
51,defend-education-organise-owner@lists.aktivix.org
52,resistance-precarity-owner@lists.aktivix.org
53,resistance-precarity@lists.aktivix.org
54,rga-u@lists.aktivix.org
55,rga-u-owner@lists.aktivix.org
56,syfaslane365-owner@lists.aktivix.org
57,syfaslane365@lists.aktivix.org
58,cc-tranquility-welcome-owner@lists.aktivix.org
59,cc-tranquility-welcome@lists.aktivix.org
60,growroots-owner@lists.aktivix.org
61,growroots@lists.aktivix.org
62,kc-orga-owner@lists.aktivix.org
63,kc-orga@lists.aktivix.org
64,pagan-magik@lists.aktivix.org
65,pagan-magik-owner@lists.aktivix.org
66,u-laden-nordstadt@lists.aktivix.org
67,u-laden-nordstadt-owner@lists.aktivix.org
68,a_cafe-owner@lists.aktivix.org
69,a_cafe@lists.aktivix.org
70,bristollegalobservernetwork@lists.aktivix.org
71,bristollegalobservernetwork-owner@lists.aktivix.org
72,kc-programm-owner@lists.aktivix.org
73,kc-programm@lists.aktivix.org
74,gca-announce-owner@lists.aktivix.org
75,gca-announce@lists.aktivix.org
76,sheffieldcoopliving-owner@lists.aktivix.org
77,sheffieldcoopliving@lists.aktivix.org
78,prayer-i58-owner@lists.aktivix.org
79,prayer-i58@lists.aktivix.org
80,lalibertaria-owner@lists.aktivix.org
81,lalibertaria@lists.aktivix.org
82,defend-education-outreach-owner@lists.aktivix.org
83,defend-education-outreach@lists.aktivix.org
84,frac-attack-owner@lists.aktivix.org
85,frac-attack@lists.aktivix.org
86,kc-schwerpunkte@lists.aktivix.org
87,kc-schwerpunkte-owner@lists.aktivix.org
88,dissent-announce-owner@lists.aktivix.org
89,dissent-announce@lists.aktivix.org
90,sheffield-noborders@lists.aktivix.org
91,sheffield-noborders-owner@lists.aktivix.org
