,email
1,-subscribe@lists.riseup.net
2,honeytroll@riseup.net
3,-unsubscribe@lists.riseup.net
4,amrounix@gmail.com
5,lokayat.pune-subscribe@lists.riseup.net
6,lokayat.india@gmail.com
7,lokayat.pune-unsubscribe@lists.riseup.net
8,lancs-uni-anti-capitalists@lists.riseup.net
9,listequeerlist-subscribe@lists.riseup.net
10,listequeerliste@gmail.com
11,listequeerlist@lists.riseup.net
12,octavapapeleta.2f@riseup.net
13,mayday-unsubscribe@lists.riseup.net
14,akmedien-subscribe@lists.riseup.net
15,scholl@uni-muenster.de
16,teune@ztg.tu-berlin.de
17,oe_discussion-unsubscribe@lists.riseup.net
18,oe_discussion-subscribe@lists.riseup.net
19,plotter@riseup.net
20,plsn_nyc@protonmail.com
21,tcc4j@lists.riseup.net
22,blo-subscribe@lists.riseup.net
23,blo-request@lists.riseup.net
24,blo@brassliberation.org
25,museum-of-care@lists.riseup.net
26,hellaskomitee@lists.riseup.net
27,biovegan-de-unsubscribe@lists.riseup.net
28,hallmark3843@gmail.com
29,ActivistWeb@gmail.com
30,lag.internationals@die-linke-berlin.de
31,barriere-check-flensburg-admin@lists.riseup.net
32,nycicarus-events-admin@lists.riseup.net
33,womenweavingfuture-admin@lists.riseup.net
34,gochgo-admin@lists.riseup.net
35,netzwerkinklusiverkulturschaffender-admin@lists.riseup.net
36,anti-hate-admin@lists.riseup.net
37,zapatistas-thueringen-admin@lists.riseup.net
38,lokayat.pune-admin@lists.riseup.net
39,pslcontreattaque-admin@lists.riseup.net
40,photosavoirscritiques-admin@lists.riseup.net
41,lancs-uni-anti-capitalists-admin@lists.riseup.net
42,prmlcordoba-admin@lists.riseup.net
43,publicclimateschool-hu-admin@lists.riseup.net
44,bayareacodepinkaction-admin@lists.riseup.net
45,fabalpes-admin@lists.riseup.net
46,nesefi-admin@lists.riseup.net
47,infoluttesphilo-admin@lists.riseup.net
48,kwier-orga-mainz-admin@lists.riseup.net
49,csd-motto-admin@lists.riseup.net
50,aqueerious_friends-admin@lists.riseup.net
51,queer-aude-admin@lists.riseup.net
52,hasenheidis-admin@lists.riseup.net
53,listequeerlist-admin@lists.riseup.net
54,queerfood_renforts-admin@lists.riseup.net
55,queereswagenkollektiv-admin@lists.riseup.net
56,seattlefnb-admin@lists.riseup.net
57,freegannyc-events-admin@lists.riseup.net
58,bringbackbritishrail-admin@lists.riseup.net
59,tpa-admin@lists.riseup.net
60,basinkomst-arbetsgrupp-admin@lists.riseup.net
61,sdba_bookgroup-admin@lists.riseup.net
62,bandofrebels-admin@lists.riseup.net
63,rojava_projekte-admin@lists.riseup.net
64,octavapapeleta.2f-admin@lists.riseup.net
65,hackney_food_poverty_justice-admin@lists.riseup.net
66,llnews-admin@lists.riseup.net
67,seattlesolidaritynet-admin@lists.riseup.net
68,giletsjaunescroixdechavaux-admin@lists.riseup.net
69,sjafoodnotbombs-admin@lists.riseup.net
70,fvc4pnj-talk-admin@lists.riseup.net
71,elijah@riseup.net
72,git@0xacab.org
73,riseup@diasp.org
74,gamilici@riseup.net
75,solid-bremen@riseup.net
76,thomaschen@riseup.net
77,yaroz@riseup.net
78,ad16@riseup.net
79,tashi@riseup.net
80,bentedgerevenge@riseup.net
81,grecoalinoe@gmail.com
82,gordaya@riseup.net
83,papageno@riseup.net
84,andreinistor@riseup.net
85,Tashi@Riseup.Net
86,isabellechapalay@riseup.net
87,user@riseup.net
88,bubba@riseup.net
89,**@riseup.net
90,alias@riseup.net
91,anotheruser@riseup.net
92,migrationstruggles-admin@lists.riseup.net
93,bayareanews-sis-admin@lists.riseup.net
94,ag-bleiben-info-admin@lists.riseup.net
95,nantes.alternatiba.info-admin@lists.riseup.net
96,respect-admin@lists.riseup.net
97,gettingthevoiceoutnewsletter-admin@lists.riseup.net
98,gtcolectivos-admin@lists.riseup.net
99,rundertisch-admin@lists.riseup.net
100,lgbtqsettlementnetwork-admin@lists.riseup.net
101,info_asambleaapoyomigrantes-admin@lists.riseup.net
102,frohezukunft-admin@lists.riseup.net
103,yarr-admin@lists.riseup.net
104,aarhus-xr-act-admin@lists.riseup.net
105,tnjp-admin@lists.riseup.net
106,liberationberlin-admin@lists.riseup.net
107,linke-ua-soli-berlin-admin@lists.riseup.net
108,netzdemo-admin@lists.riseup.net
109,copandbeyond-orga-admin@lists.riseup.net
110,straszenfest-outreach-admin@lists.riseup.net
111,capitalismvsclimate-admin@lists.riseup.net
112,nocovid-berlin-admin@lists.riseup.net
113,antimilitaristnetwork-admin@lists.riseup.net
114,globales_medienbewusstsein-admin@lists.riseup.net
115,piratetv-admin@lists.riseup.net
116,liminar-admin@lists.riseup.net
117,oe_discussion-admin@lists.riseup.net
118,grassrootscommunityradiooutreach-admin@lists.riseup.net
119,cpml-admin@lists.riseup.net
120,amigosrz-admin@lists.riseup.net
121,pptn-social-admin@lists.riseup.net
122,bureaucanut-admin@lists.riseup.net
123,plotter-admin@lists.riseup.net
124,coalitionagainstprisoncensorship-admin@lists.riseup.net
125,mcgeespauldingnbrsinaction-announce-admin@lists.riseup.net
126,blueridgeabc-announces-admin@lists.riseup.net
127,abolitionismus-berlin-admin@lists.riseup.net
128,defundcopsygk-admin@lists.riseup.net
129,abolition-in-special-collections-admin@lists.riseup.net
130,kalimeroparis-admin@lists.riseup.net
